PersonUrn,Label,Description,Status,Redirect,StemClass
urn:cite:hmt:pers.pers903,Danae,"mother of Perseus, daughter of Acrisius",proposed,,
urn:cite:hmt:pers.pers904,Acrisius,"or Akrisios, father of Danae, king of Agros",proposed,,
urn:cite:hmt:pers.pers905,Semele,"daughter of Cadmus and Harmonia, mother of Dionysus by Zeus",proposed,,
urn:cite:hmt:pers.pers906,Alcmene,"or Alkmene, mother of Heracles/Hercules, wife of Amphitryon",proposed,,
urn:cite:hmt:pers.pers907,Krios,"or Crius, Titan, father of Astraios and Pallas",proposed,,
urn:cite:hmt:pers.pers908,Satnius,"son of Enops and a nymph, slain by Ajax the lesser",proposed,,
urn:cite:hmt:pers.pers909,Enops,"father of Satnius and Thestor, married nymph Satnioeis",proposed,,
urn:cite:hmt:pers.pers910,Areilycus,"from Boeotia, married Theobule, father of Prothoenor and Archesilaus",proposed,,
urn:cite:hmt:pers.pers911,Promachus,"son of Alegenor, from Boeotia, killed by Acamas",proposed,,
urn:cite:hmt:pers.pers912,Phorbas,"father of Ilioneus, favored by Hermes",proposed,,
urn:cite:hmt:pers.pers913,Ilioneus,"son of Phorbas, slain by Peneleos",proposed,,
urn:cite:hmt:pers.pers914,Hyrtius,"son of Gyrtius, a Mysian, slain by Ajax",proposed,,
urn:cite:hmt:pers.pers915,Phalces,"a Trojan, slain by Antilochus",proposed,,
urn:cite:hmt:pers.pers916,Mermerus,"a Trojan, slain by Antilochus",proposed,,
urn:cite:hmt:pers.pers917,Morys,"a Mysian, the son of Hippotion, slain by Meriones",proposed,,
urn:cite:hmt:pers.pers918,Hippotion,"an Ascanian, slain by Meriones",proposed,,
urn:cite:hmt:pers.pers919,Prothoon,"a Trojan, slain by Teucer",proposed,,
urn:cite:hmt:pers.pers920,Periphetes,"a Mysian, slain by Teucer",proposed,,
urn:cite:hmt:pers.pers921,Hyperenor,"son of Panthous, slain by Menelaus",proposed,,
urn:cite:hmt:pers.pers922,Alegenor,"father of Promachus, from Boeotia",proposed,,
urn:cite:hmt:pers.pers923,Elektryon,"or Electryon, son of Perseus and Andromeda, king of Tiryns and Mycenae, father of Alcmene",proposed,,
urn:cite:hmt:pers.pers924,Iphiclus,"or Iphicles, fraternal twin of Heracles, son of Alcmene and Amphityron",proposed,,
urn:cite:hmt:pers.pers925,Dictys,"fisherman and brother of King Polydectes of Seriphos, discovered Danaë and Perseus inside a chest",proposed,,
urn:cite:hmt:pers.pers926,Polydectes,"king of Seriphos, turned to stone by Perseus",proposed,,
urn:cite:hmt:pers.pers927,Euphranor,"grammarian, probably of the first century BCE or earlier, teacher of Apion",proposed,,
urn:cite:hmt:pers.pers928,Lynceus,"one of the Argonauts, brother of Idas,",proposed,,
urn:cite:hmt:pers.pers929,Idas,"son of Aphareus and Arene, brother of Lynceus, kills Castor",proposed,,
urn:cite:hmt:pers.pers930,Epopeus,"king of Sicyon, seduced Antiope",proposed,,
urn:cite:hmt:pers.pers931,Lycus,"father of Antiope, also know as Lycurgus",proposed,,
urn:cite:hmt:pers.pers932,Oedipus,"ill fated king of Thebes, son of Laius and Jocasta",proposed,,
urn:cite:hmt:pers.pers933,Ariadne,"daughter of Minos and Pasiphaë, helped Theseus and then was abandonded on Naxos",proposed,,
urn:cite:hmt:pers.pers934,Palamedes,"son of Nauplius, led the Nauplians in the Trojan War",proposed,,
urn:cite:hmt:pers.pers935,Deidamia,"daughter of Lycomedes, has Neoptolemos with Achilles",proposed,,
