PersonUrn,Label,Description,Status,Redirect,StemClass
urn:cite:hmt:pers.pers173,Hyas,"seems to be father of Merops?",proposed,,
urn:cite:hmt:pers.pers174,Briareus,"also called Aegaeon, one of the hundred-handed giants",proposed,,
urn:cite:hmt:pers.pers175,Didymus,"Didymus Chalcenterus",proposed,,
urn:cite:hmt:pers.pers176,Posidonius,"The stoic",proposed,,
urn:cite:hmt:pers.pers177,Memnon,"Ethiopian king, Trojan ally",proposed,,
urn:cite:hmt:pers.pers178,Sophocles,"greek Tragedian",proposed,,
urn:cite:hmt:pers.pers179,Dia,"Ixion's wife",proposed,,
urn:cite:hmt:pers.pers180,Ganymedes,"lover of Zeus and cup-bearer of the gods",proposed,,
urn:cite:hmt:pers.pers181,Hebe,"goddess of youth and cup-bearer of the gods",proposed,,
urn:cite:hmt:pers.pers182,Orus,"of Alexandria",proposed,,
urn:cite:hmt:pers.pers183,Theophrastus,"head of the Peripatetic school after Aristotle",proposed,,
urn:cite:hmt:pers.pers184,Peleus,"father of Achilles",proposed,,
urn:cite:hmt:pers.pers185,Philitas,"of Cos, Alexandrian scholar, Greek poet",proposed,,
urn:cite:hmt:pers.pers186,Phidias,"Greek sculptor",proposed,,
urn:cite:hmt:pers.pers187,Altes,"king of the Leleges",proposed,,
urn:cite:hmt:pers.pers188,Lycurgus,"of Sparta, legendary lawgiver",proposed,,
urn:cite:hmt:pers.pers189,Proteus,"an old shapeshifting sea-god",proposed,,
urn:cite:hmt:pers.pers190,Phorcys,"sea-god, father of the Phorcydes",proposed,,
urn:cite:hmt:pers.pers191,Callistratus,"Alexandrian poet and grammarian",proposed,,
urn:cite:hmt:pers.pers192,Hephaestus,"god of fire and metallurgy",proposed,,
urn:cite:hmt:pers.pers193,Graces,"DO NOT USE group of three goddesses",rejected,,
urn:cite:hmt:pers.pers194,Aphrodite,"goddess of love, also called, Venus and Cypris",proposed,,
urn:cite:hmt:pers.pers195,Sarpedon,"son of Zeus, king of Lycia (allies of Troy), slain by Patroclus",proposed,,
urn:cite:hmt:pers.pers196,Zethus,"son of Zeus by Antiope, twin of Amphion",proposed,,
urn:cite:hmt:pers.pers197,Amphion,"son of Zeus by Antiope, twin of Zethus, husband of Niobe",proposed,,
urn:cite:hmt:pers.pers198,Minos,"king of Crete, father of Ariadne",proposed,,
urn:cite:hmt:pers.pers199,Rhadamanthys,"son of Zeus by Europa, renowned for wisdom and justice",proposed,,
urn:cite:hmt:pers.pers200,Perseus,"hero who slew Medusa and saved Andromeda",proposed,,
urn:cite:hmt:pers.pers201,Hades,"god of the underworld",proposed,,
urn:cite:hmt:pers.pers202,Ephialtes,"son of Poseidon, one of the Aloadae, brother of Otus",proposed,,
urn:cite:hmt:pers.pers203,Otus,"son of Poseidon, one of the Aloadae, brother of Ephialtes",proposed,,
urn:cite:hmt:pers.pers204,Neleus,"son of Poseidon, father of Nestor",proposed,,
urn:cite:hmt:pers.pers205,Aeolus,"son of Hellen and Orseis, father of Xuthus",proposed,,
urn:cite:hmt:pers.pers206,Dryops,"son of Priam, slain by Achilles",proposed,,
urn:cite:hmt:pers.pers207,Theagenes,"of Rhegium, 6th c. BC literary critic",proposed,,
urn:cite:hmt:pers.pers208,Rhea,"mother of Zeus et al.",proposed,,
urn:cite:hmt:pers.pers209,Hestia,"goddess of the hearth",proposed,,
urn:cite:hmt:pers.pers210,Demeter,"goddess of grain",proposed,,
urn:cite:hmt:pers.pers211,Dionysius,Thrax,proposed,,
urn:cite:hmt:pers.pers212,Merion,"son of Molus, Cretan charioteer of Idomeneus",proposed,,
urn:cite:hmt:pers.pers213,Aegeus,"father of Theseus, archaic king of Athens",proposed,,
urn:cite:hmt:pers.pers214,Typhon,"son of Gaia, Father of All Monsters, also called Typhus and Typhoeus",proposed,,
urn:cite:hmt:pers.pers215,Diomedes,"king of Argos",proposed,,
urn:cite:hmt:pers.pers216,Pandarus,"Trojan archer, son of Lycaon",proposed,,
urn:cite:hmt:pers.pers217,Automedon,"son of Diores, charioteer of Achilles",proposed,,
urn:cite:hmt:pers.pers218,Alcimedon,"son of Laerceus, one of the commanders of the Myrmidons under Patroclus",proposed,,
urn:cite:hmt:pers.pers219,Enyo,"personification of battle, companion of Ares",proposed,,
urn:cite:hmt:pers.pers220,Tros,"ancestor of the Trojans",proposed,,
urn:cite:hmt:pers.pers221,Parmeniscus,"pupil of Aristarchus",proposed,,
urn:cite:hmt:pers.pers222,Thoas,"Trojan slain by Menelaus",proposed,,
urn:cite:hmt:pers.pers223,Dares,"priest of Hephaestus",proposed,,
urn:cite:hmt:pers.pers224,Dryas,"father of Lycurgus",proposed,,
urn:cite:hmt:pers.pers225,Aeschylus,"Greek tragedian",proposed,,
urn:cite:hmt:pers.pers226,Pheres,"Uncle of Jason",proposed,,
urn:cite:hmt:pers.pers227,Idaeus,"Son of Dardanus",proposed,,
urn:cite:hmt:pers.pers228,Stesichorus,"Lyric poet",proposed,,
urn:cite:hmt:pers.pers229,Odius,"King of the Halizonians",proposed,,
urn:cite:hmt:pers.pers230,Tychius,"Wrought a shield for Ajax",proposed,,
urn:cite:hmt:pers.pers231,Dolius,"Slave of Penelope",proposed,,
urn:cite:hmt:pers.pers232,Chromius,"son of Priam",proposed,,
urn:cite:hmt:pers.pers233,Alcinous,"King of Phaeacians",proposed,,
urn:cite:hmt:pers.pers234,Alius,"Son of Alcinous",proposed,,
urn:cite:hmt:pers.pers235,Anius,"son of Apollo and Rhoeo",proposed,,
urn:cite:hmt:pers.pers236,Euphorion,grammarian,proposed,,
urn:cite:hmt:pers.pers237,Phaestus,"Son of Borus the Maeonian",proposed,,
urn:cite:hmt:pers.pers238,Tecton,"Carpenter, father of Phereclus",proposed,,
urn:cite:hmt:pers.pers239,Phereclus,"Son of Tecton",proposed,,
urn:cite:hmt:pers.pers240,Phemius,"Minstrel, son of Terpes",proposed,,
urn:cite:hmt:pers.pers241,Ibycus,"Greek lyric poet",proposed,,
